Unnamed: 0,Date,Open,High,Low,Close,Volume,SMA_5,RSI_5
0,2025-04-01,382.1900024414063,382.8500061035156,373.2300109863281,374.6499938964844,19689500,,0.0
1,2025-04-02,382.1400146484375,385.0799865722656,376.6199951171875,377.9700012207031,16092600,,62.40606679439671
2,2025-04-03,373.1099853515625,377.4800109863281,369.3500061035156,374.7900085449219,30198000,,2371.185701830862
3,2025-04-04,359.8399963378906,374.5899963378906,359.4800109863281,364.1300048828125,49209900,,-31.55903794104762
4,2025-04-07,357.8599853515625,371.0,344.7900085449219,350.8800048828125,50425000,368.4840026855469,-13.96722279639745
5,2025-04-08,354.5599975585937,373.6499938964844,350.25,368.260009765625,35868900,367.206005859375,-323.9446575002269
6,2025-04-09,390.489990234375,393.2300109863281,353.1000061035156,353.5400085449219,50199700,362.3200073242188,-71.1420797929351
7,2025-04-10,381.3500061035156,383.8999938964844,367.7999877929688,382.05999755859375,38024400,363.7740051269531,631.362630812306
8,2025-04-11,388.4500122070313,390.0499877929688,378.8900146484375,380.6400146484375,23828700,367.0760070800781,278.013123844732
